id;cantidad;created_at;fecha_entrada;lote
1;68806;2021-01-29T17:55:14;2021-01-29T00:37:36;Handcrafted Plastic Mouse Incredible
2;90000;2021-01-29T07:53:55;2021-01-29T11:23:35;Cotton
3;18962;2021-01-29T07:54:26;2021-01-28T23:51:24;panel Wooden Forward
4;82304;2021-01-28T23:53:46;2021-01-29T12:17:49;Wooden Ball
5;5372;2021-01-28T23:59:45;2021-01-29T06:15:23;Switchable
6;84968;2021-01-29T12:41:27;2021-01-29T07:53:39;COM synergistic
7;79110;2021-01-29T14:49:34;2021-01-29T04:02:43;Investment Account reboot Cambridgeshire
8;56308;2021-01-28T22:47:19;2021-01-29T16:47:47;Refined Concrete Ball well-modulated
9;576;2021-01-29T17:09:36;2021-01-29T00:58:14;throughput
10;65646;2021-01-29T09:20:04;2021-01-29T14:04:29;bricks-and-clicks
