id;created_at;fecha_fin;fecha_inicio;precio
1;2021-01-29T13:53:21;2021-01-29T00:59:34;2021-01-29T03:24:37;92778
2;2021-01-29T07:36:16;2021-01-29T05:59:02;2021-01-29T12:59:48;63629
3;2021-01-29T08:52:47;2021-01-29T12:05:47;2021-01-29T19:52:17;42672
4;2021-01-29T09:49:51;2021-01-29T08:33:09;2021-01-29T15:29:38;24615
5;2021-01-28T22:31:31;2021-01-29T07:23:36;2021-01-29T04:05:24;62067
6;2021-01-29T13:23:00;2021-01-29T11:10:16;2021-01-29T17:35:15;81482
7;2021-01-29T08:40:13;2021-01-29T01:09:39;2021-01-29T02:50:48;39569
8;2021-01-29T01:41:17;2021-01-29T05:25:31;2021-01-29T08:12:20;78235
9;2021-01-29T16:20:55;2021-01-29T19:12:48;2021-01-28T23:50:59;68709
10;2021-01-29T18:20:50;2021-01-29T08:35:28;2021-01-29T10:23:18;16056
