id;descipcion;nombre;notas
1;Buckinghamshire;Integración online;Algodón collaborative Acero
2;Oficial;Suiza Gris;Teclado Madrid generating
3;back-end parse adaptador;markets Amarillo;group
4;Lev Hogar;transmitting Increible;Silla
5;bypassing deposit program;Costa Guantes Mesa;Zambia Inteligente optical
6;Murcia Berkshire mesh;Pollo mobile input;Violeta payment Denar
7;División Guapa;bypass;Oficial Torrente one-to-one
8;methodologies Libyan neutral;port Facilitador;Cara
9;wireless;back-end Dinánmico overriding;Contabilidad Coordinador Colombian
10;Pequeño Avon Castilla-La;deposit Pequeño;Genérico
