id;cantidad;created_at;fecha_expedicion;total
1;3279;2021-01-29T13:07:26;2021-01-29T05:02:17;83946
2;13097;2021-01-29T04:21:50;2021-01-29T04:20:22;54937
3;81117;2021-01-29T09:20:10;2021-01-29T12:53:39;41333
4;30034;2021-01-29T04:21:24;2021-01-29T13:08:34;93858
5;66515;2021-01-29T17:11:16;2021-01-29T08:22:35;51517
6;68192;2021-01-29T13:58:19;2021-01-29T10:54:04;35066
7;14091;2021-01-29T02:26:35;2021-01-29T09:44:49;81478
8;56787;2021-01-29T20:08:47;2021-01-29T20:15:07;87125
9;66601;2021-01-28T22:17:04;2021-01-29T02:21:34;11940
10;63023;2021-01-29T05:44:48;2021-01-29T07:26:18;50415
